emotion,language,comment
angry,bangla,সব মিথ্যা কথা!
angry,bangla,রাগে ফেটে পড়ছি
love,english,You are the best thing that ever happened to me
neutral,bangla,আজ রান্না করেছি
love,english,You are loved beyond measure
neutral,english,Have a meeting at 3
love,bangla,তোমাকে নিয়ে আমার গর্ব
neutral,bangla,বৃষ্টি হচ্ছে আজকে
love,english,Thank you for being you
sad,english,Why does this keep happening
sad,bangla,কেউ আমাকে ভালোবাসে না
angry,english,I'm about to lose my mind
happy,bangla,খুশিতে আত্মহারা
sad,bangla,আমি কারো কাজে লাগি না
anxious,english,Paranoid and restless
anxious,english,I'm so scared of the result
happy,bangla,ভীষণ ভালো লাগছে
happy,bangla,জীবন সুন্দর
surprised,bangla,আমি হতবাক!
neutral,english,Checked my emails
love,english,This is what love feels like
surprised,english,What a revelation!
neutral,english,Have a meeting at 3
neutral,english,Going to work now
anxious,english,Can't sleep at all tonight
anxious,english,I can't calm down
surprised,english,Really? That's shocking!
love,english,You are perfect just the way you are
love,english,My heart belongs to you
happy,english,I am so happy today!
happy,bangla,আমার স্বপ্ন পূরণ হয়েছে
sad,bangla,হারিয়ে যাচ্ছি
surprised,bangla,এটা তো নাটকের মতো!
happy,bangla,আজকে আমার সেরা দিন
neutral,bangla,ল্যাপটপ চালু করলাম
sad,english,I wish I had someone to talk to
love,english,You complete me
love,bangla,তোমার কথা ভাবলেই ভালো লাগে
surprised,bangla,এটা স্বপ্ন নিশ্চয়ই!
surprised,bangla,কী দারুণ খবর!
anxious,bangla,আমার মাথা কাজ করছে না
anxious,english,I'm panicking inside
love,english,You are amazing
anxious,bangla,অস্থির লাগছে খুব
angry,bangla,থামো এখনি!
neutral,english,Reading news online
sad,bangla,ব্যথাটা সহ্যের বাইরে
sad,bangla,সব শেষ হয়ে গেছে
happy,bangla,খুব ভালো লাগছে আজকে
surprised,bangla,আমি হতবাক!
happy,english,This is amazing news
anxious,bangla,শ্বাস নিতে কষ্ট হচ্ছে
love,bangla,তোমার কথা ভাবলেই ভালো লাগে
neutral,bangla,ছবি দেখলাম ফেসবুকে
neutral,english,The weather is okay I guess
angry,english,Enough is enough!
love,bangla,তোমার চোখে আমি হারিয়ে যাই
anxious,english,I am on edge all the time
surprised,english,Unbelievable!
angry,bangla,তুমি আমাকে চেনো না
anxious,bangla,ব্যর্থ হলে কি হবে ভেবে মরি
love,english,I choose you every day
happy,bangla,পরিবারের সাথে সময় কাটাচ্ছি
surprised,bangla,সত্যি হলে ভালো হতো!
surprised,bangla,অবিশ্বাস্য!
love,english,Love you forever
neutral,bangla,ইনবক্স চেক করলাম
sad,english,This hurts so much
neutral,bangla,বৃষ্টি হচ্ছে আজকে
neutral,english,Just another Monday
angry,bangla,চুপ করে থাকব না আর
happy,bangla,জীবনে এত আনন্দ আর কি চাই
love,bangla,আমি তোমাকে মিস করি
love,bangla,তোমার জন্যই আমি বেঁচে আছি
surprised,bangla,এটা তো স্বপ্নের মতো
neutral,bangla,বন্ধুর সাথে কথা হলো
happy,english,Finally achieved my goal!
neutral,english,Nothing special happened
anxious,bangla,হার্টের ধড়ফড়ানি বন্ধ হচ্ছে না
surprised,bangla,আমি স্তব্ধ!
surprised,english,Cannot process this
anxious,english,I can't stop worrying
neutral,bangla,বই পড়ছি এখন
surprised,english,Cannot process this
love,bangla,তুমি আমার অস্তিত্ব
surprised,english,Did that really just happen?
love,bangla,আমার হৃদয় তোমার জন্য
angry,bangla,আমি প্রতিশোধ নেব
angry,english,I am furious right now
angry,english,I want justice!
neutral,bangla,বই পড়ছি এখন
love,english,You are my sunshine
love,english,You complete me
angry,english,You crossed the line
angry,english,You crossed the line
neutral,english,Just browsing social media
love,bangla,তুমি আমার স্বপ্নের মানুষ
angry,bangla,রাগে ফেটে পড়ছি
angry,english,So sick of this nonsense
love,english,Best feeling in the world
surprised,bangla,আমি তো অবাক!
happy,english,Everything is going my way
neutral,english,It's a regular weekday
love,english,Love you to the moon and back
anxious,bangla,হার্টের ধড়ফড়ানি বন্ধ হচ্ছে না
happy,english,Finally achieved my goal!
angry,english,This makes my blood boil
angry,bangla,তোমার লজ্জা করে না?
angry,bangla,অপমান সহ্য করব না
anxious,bangla,সব সময় ভয় লাগে
angry,bangla,এটা আমি মেনে নিতে পারব না!
anxious,english,I can't handle this
surprised,bangla,এটা তো পুরোপুরি অপ্রত্যাশিত!
neutral,english,Watching a movie tonight
angry,bangla,চুপ করে থাকব না আর
angry,english,This is outrageous
sad,bangla,সব শেষ হয়ে গেছে
love,bangla,তোমার হাসি আমার পৃথিবী
neutral,bangla,অফিস যাচ্ছি এখন
neutral,english,Made some coffee
angry,bangla,আমার রাগ এখন বাস্তব
happy,bangla,কি সুন্দর একটা দিন!
sad,bangla,আমি খুব একা
happy,english,I am thrilled
angry,bangla,ন্যায়বিচার চাই!
surprised,english,I can't believe my eyes
angry,english,I hate this so much
neutral,english,I need to buy groceries
love,bangla,তুমি সেরা
surprised,bangla,এটা তো পুরোপুরি অপ্রত্যাশিত!
surprised,bangla,কোনো কথা নেই আমার কাছে
happy,bangla,পরিবারের সাথে সময় কাটাচ্ছি
surprised,english,No way! This is unbelievable!
surprised,bangla,এটা কল্পনাতীত!
surprised,bangla,সত্যি কথা বলছ?
sad,english,I give up
angry,bangla,রাগে ফেটে পড়ছি
surprised,english,This changes everything!
neutral,bangla,ছবি দেখলাম ফেসবুকে
anxious,bangla,সব সময় ভয় লাগে
neutral,bangla,ঘুম থেকে উঠলাম সকালে
angry,english,I am done with this
happy,bangla,আজকে আমার সেরা দিন
anxious,english,My mind won't stop racing
love,bangla,তুমি আসলেই স্পেশাল
neutral,english,It's raining outside
surprised,bangla,কেউ জানত না এটা হবে!
happy,english,So excited for the weekend!
neutral,bangla,পানি খাচ্ছি
neutral,bangla,আজ সাধারণ একটা দিন
sad,english,Wish things were different
anxious,english,The anxiety is overwhelming
angry,english,Are you serious right now
sad,english,Why does it hurt so much
sad,english,So disappointed
neutral,bangla,ফ্রিজে কিছু নেই
surprised,bangla,এটা তো নাটকের মতো!
angry,bangla,এটা আমি মেনে নিতে পারব না!
sad,english,I am drowning in sadness
anxious,bangla,অজানা ভয়ে আছি
sad,bangla,আমি হেরে গেছি
happy,english,Couldn't be happier right now
anxious,bangla,চিন্তায় রাত ঘুম আসে না
neutral,english,Having some tea right now
angry,english,I'm boiling inside
angry,bangla,তোমার অহংকার নিচে নামাব
love,english,You are the best thing that ever happened to me
anxious,bangla,অস্থির লাগছে খুব
love,bangla,তুমি আমার পৃথিবী
neutral,english,I should clean my room
anxious,bangla,পাগল হয়ে যাব
surprised,bangla,ওহ মাই গড!
surprised,english,I am stunned
neutral,english,Having some tea right now
sad,english,Feeling empty inside
angry,bangla,থামো এখনি!
love,english,Can't imagine life without you
surprised,english,What a revelation!
surprised,bangla,সত্যি! আমি বিশ্বাস করতে পারছি না!
happy,english,So grateful for everything!
surprised,bangla,হয়নি তো কিছু?
love,bangla,তোমায় নিয়ে গর্বিত
sad,bangla,আমার কিছুই নেই
sad,bangla,কেউ আমার পাশে নেই
neutral,bangla,গতকাল বাসায় ছিলাম
anxious,bangla,সব সময় ভয় লাগে
angry,english,How stupid can people be
surprised,english,No way! This is unbelievable!
neutral,bangla,নাস্তা করলাম
surprised,bangla,আমি তো অবাক!
love,bangla,তুমি আমার প্রেরণা
happy,bangla,আজ অনেক আনন্দ
love,bangla,তুমি ছাড়া কিছুই না আমি
sad,bangla,কেউ আমাকে ভালোবাসে না
love,bangla,তুমি আমার সমগ্র বিশ্ব
anxious,bangla,স্ট্রেসে আছি খুব
anxious,english,Can't sleep at all tonight
happy,english,This makes me smile
angry,english,Stop lying to me!
surprised,bangla,আমি ভাবতেও পারিনি
surprised,bangla,অসম্ভব!
neutral,english,Listening to some music
angry,english,I am furious right now
anxious,english,Every little thing worries me
surprised,bangla,আমি তো অবাক!
angry,bangla,তোমার অহংকার নিচে নামাব
sad,english,Feeling really down
sad,english,I just want to disappear
happy,bangla,আজ অনেক আনন্দ
anxious,english,I can't handle this
happy,english,What a joy!
anxious,english,I feel suffocated
love,english,My heart beats for you
anxious,english,When will this be over
sad,english,Wish things were different
angry,english,So angry I can't even think straight
surprised,english,Did that really just happen?
neutral,bangla,ল্যাপটপ চালু করলাম
happy,bangla,পরিবারের সাথে সময় কাটাচ্ছি
neutral,english,Watching a movie tonight
surprised,bangla,কি বলছ! এটা সত্যি?
love,english,Love you forever
anxious,english,When will this be over
angry,bangla,আগুন জ্বলছে ভিতরে
angry,bangla,আমি প্রতিশোধ নেব
angry,english,I'm boiling inside
love,bangla,তুমি আমার সারা জীবনের গল্প
sad,english,Why does it hurt so much
sad,bangla,নিঃসঙ্গতা গ্রাস করছে
neutral,english,Thinking about what to cook
happy,english,Smiling from ear to ear
love,english,So lucky to have you
sad,english,I just want to sleep forever
love,english,I adore you
sad,bangla,জীবনটা বোঝা হয়ে গেছে
neutral,bangla,বাসায় বসে আছি
happy,english,So much to celebrate!
love,english,You are my forever person
surprised,bangla,আমি হতবাক!
angry,english,I want justice!
angry,bangla,আমি প্রতারিত হয়েছি
happy,bangla,আজকে আমার সেরা দিন
love,bangla,তোমার সাথে সময় কাটালে ভালো লাগে
happy,english,Best day ever!
angry,english,Cannot tolerate this anymore
angry,bangla,আমি প্রতারিত হয়েছি
neutral,bangla,বিশেষ কিছু হয়নি
sad,english,Why does this keep happening
love,bangla,আমি তোমাকে মিস করি
happy,english,This is amazing news
neutral,bangla,মোবাইল চার্জ দিচ্ছি
anxious,english,What if something goes wrong?
angry,bangla,অবিচার করা হচ্ছে আমার সাথে
anxious,bangla,চিন্তায় রাত ঘুম আসে না
angry,bangla,সব মিথ্যা কথা!
surprised,english,OMG! That's crazy!
love,english,I cherish every moment with you
angry,bangla,এত নিষ্ঠুর কেন সবাই
anxious,bangla,আমার মন স্থির নয়
sad,bangla,নিঃসঙ্গতা গ্রাস করছে
neutral,bangla,হোমওয়ার্ক করলাম
neutral,english,Time for lunch
neutral,english,I had my breakfast
surprised,english,Wow I did not see that coming!
anxious,bangla,আমার ভেতরটা কাঁপছে
sad,english,I am drowning in sadness
surprised,bangla,এটা কখনোই আশা করিনি
sad,bangla,আমি হেরে গেছি
neutral,english,Reading news online
neutral,bangla,আজ সাধারণ একটা দিন
surprised,bangla,এটা তো শকিং!
happy,bangla,গর্বিত নিজের উপর
sad,english,I lost someone important
happy,english,What a blessing!
angry,bangla,অবিচার করা হচ্ছে আমার সাথে
happy,bangla,দারুণ এক অনুভূতি
angry,bangla,এটা যুদ্ধের সময়!
love,english,Thank you for being you
happy,english,Absolutely fantastic!
love,bangla,ভালোবাসা অমর
happy,english,I feel so lucky
neutral,english,Listening to some music
sad,english,I feel so lonely today
love,english,So lucky to have you
angry,english,How stupid can people be
sad,english,There is no hope left
neutral,bangla,কাল শপিং এ যাব
anxious,english,I am on edge all the time
anxious,bangla,ফলাফল নিয়ে খুব ভয় লাগছে
neutral,english,Watching a movie tonight
anxious,bangla,চাপে আছি ভীষণ
neutral,bangla,মোবাইল চার্জ দিচ্ছি
happy,bangla,সুখে আছি
sad,bangla,জীবনটা বোঝা হয়ে গেছে
sad,english,Everything is falling apart
anxious,english,I'm afraid of the future
love,english,Love you to the moon and back
love,english,You are amazing
anxious,bangla,ফলাফল নিয়ে খুব ভয় লাগছে
anxious,english,So much pressure on me
happy,bangla,আজকে মনটা খুব ভালো
happy,bangla,সুখে আছি
angry,english,This makes my blood boil
anxious,bangla,শ্বাস নিতে কষ্ট হচ্ছে
angry,english,What a waste of time
neutral,bangla,ইনবক্স চেক করলাম
angry,english,Absolutely ridiculous
love,english,You make my life complete
sad,english,So tired of all this
neutral,bangla,ফ্রিজে কিছু নেই
angry,bangla,সব পাপী একদিন ধরা পড়বে
love,bangla,তোমার চোখে আমি হারিয়ে যাই
surprised,english,This is mind blowing
anxious,bangla,স্ট্রেসে আছি খুব
happy,bangla,হাসি মুখে দিন শুরু
anxious,bangla,ঘুমাতে পারছি না চিন্তায়
sad,bangla,কেউ আমার কথা বুঝে না
love,bangla,তোমার জন্য আমার ভালোবাসা চিরন্তন
neutral,english,Watching a movie tonight
anxious,bangla,চিন্তায় রাত ঘুম আসে না
happy,bangla,খুব ভালো লাগছে আজকে
happy,bangla,পরিবার নিয়ে আনন্দ
sad,english,Nothing is going right
happy,english,Best day ever!
happy,bangla,আমি সফল হয়েছি
angry,bangla,এটা আমি ভুলব না
anxious,bangla,হার্টের ধড়ফড়ানি বন্ধ হচ্ছে না
surprised,english,I am in shock
angry,english,I want justice!
angry,english,I am so fed up!
love,bangla,আমি তোমাকে অনেক ভালোবাসি
neutral,bangla,বিশেষ কিছু হয়নি
happy,english,I am so happy today!
anxious,bangla,প্যারানয়েড হয়ে গেছি
anxious,bangla,চিন্তায় ডুবে আছি
happy,english,Feeling great and blessed!
love,bangla,তুমি আমার প্রেরণা
love,english,So lucky to have you
neutral,english,My phone battery is low
angry,english,I am so fed up!
anxious,english,I feel suffocated
surprised,bangla,সত্যি হলে ভালো হতো!
surprised,bangla,অবিশ্বাস্য!
happy,bangla,আমি খুবই আনন্দিত
anxious,english,This uncertainty is killing me
neutral,bangla,বন্ধুর সাথে কথা হলো
happy,english,Smiling from ear to ear
neutral,bangla,সন্ধ্যায় হাঁটতে যাব
surprised,english,What a surprise!
angry,bangla,অপমান সহ্য করব না
angry,english,I want justice!
happy,english,What a wonderful day!
anxious,bangla,কালকের জন্য খুব টেনশন হচ্ছে
anxious,bangla,শ্বাস নিতে কষ্ট হচ্ছে
surprised,english,Can't believe this is real
happy,bangla,বন্ধুদের সাথে আড্ডা দারুণ
happy,english,I feel so lucky
anxious,english,I wish I knew what to expect
neutral,english,Nothing new to report
neutral,bangla,আজ রান্না করেছি
anxious,bangla,হাত পা ঠান্ডা হয়ে আসছে
surprised,english,I can't believe my eyes
anxious,bangla,চাপে আছি ভীষণ
anxious,bangla,বুকটা ধড়ফড় করছে
sad,english,Can't stop crying
sad,english,I just want to disappear
anxious,english,My mind won't stop racing
anxious,bangla,চাপে আছি ভীষণ
surprised,bangla,ওহ মাই গড!
sad,bangla,কষ্টে আছি খুব
angry,english,How dare they do this
anxious,bangla,ভবিষ্যৎ নিয়ে খুব দুশ্চিন্তা
love,english,This is what love feels like
love,bangla,ভালোবাসা অমর
sad,english,No one understands me
neutral,english,I should clean my room
love,english,So in love with this person
happy,english,Everything is going my way
happy,english,Smiling from ear to ear
anxious,english,I'm afraid of the future
sad,bangla,ভেঙে পড়েছি সম্পূর্ণ
angry,bangla,আমি ঠকেছি
happy,english,Finally achieved my goal!
surprised,bangla,অবিশ্বাস্য!
sad,english,Life feels so heavy
surprised,bangla,আমি তো ভাবতেই পারিনি
surprised,english,I never expected this to happen
neutral,bangla,বিশেষ কিছু হয়নি
sad,english,I lost someone important
anxious,bangla,অস্থির লাগছে খুব
anxious,bangla,কিছু একটা খারাপ হবে মনে হচ্ছে
happy,english,Delighted with the result
happy,english,This is amazing news
neutral,bangla,বাজারে যাব একটু পর
anxious,english,Feeling really uneasy
sad,english,I feel broken
happy,english,What a joy!
sad,bangla,নিঃসঙ্গতা গ্রাস করছে
anxious,english,Overthinking everything again
sad,english,My heart is aching
love,english,My heart belongs to you
sad,bangla,কষ্টে আছি খুব
surprised,bangla,বাহ! এটা তো দারুণ!
anxious,english,I need to breathe
sad,bangla,সব কিছু উল্টে গেছে
happy,english,I love this weather!
angry,english,This is a joke
neutral,bangla,মোবাইল চার্জ দিচ্ছি
neutral,english,It's a regular weekday
love,bangla,তুমি আমার জীবনের আলো
love,english,You are amazing
surprised,english,Never in a million years
happy,bangla,আমার লক্ষ্য পূরণ হয়েছে
sad,english,I feel so lonely today
neutral,english,Need to charge my laptop
happy,english,I am thrilled
sad,bangla,ভেঙে পড়েছি সম্পূর্ণ
sad,bangla,কেউ আমাকে বুঝতে চায় না
happy,bangla,আজকে মনটা খুব ভালো
surprised,bangla,এটা তো নাটকের মতো!
happy,english,So excited for the weekend!
angry,bangla,আমি প্রতারিত হয়েছি
angry,bangla,বেশি বাড়াবাড়ি করছো!
sad,english,My heart is aching
angry,bangla,এটা আমি মেনে নিতে পারব না!
sad,english,I feel invisible
happy,bangla,খুশিতে আত্মহারা
surprised,english,Who would have thought!
happy,english,My heart is full of joy
surprised,bangla,হয়নি তো কিছু?
neutral,english,I had my breakfast
surprised,english,That is incredible!
anxious,english,I'm panicking inside
anxious,bangla,অস্থির লাগছে খুব
surprised,bangla,অবিশ্বাস্য!
surprised,english,Did that really just happen?
neutral,english,Need to go grocery shopping
surprised,english,I'm genuinely surprised
neutral,bangla,সোশ্যাল মিডিয়া দেখছি
sad,english,Wish things were different
happy,english,I feel so lucky
angry,english,I'm about to lose my mind
surprised,bangla,কি বলছ! এটা সত্যি?
neutral,english,Thinking about what to cook
happy,bangla,আলহামদুলিল্লাহ সব ভালো
surprised,bangla,জীবনে এটা কখনো ভাবিনি
angry,bangla,রাগে ফেটে পড়ছি
anxious,english,I can't handle this
surprised,bangla,কোনো কথা নেই আমার কাছে
love,english,You mean the world to me
happy,bangla,আজ অনেক আনন্দ
anxious,english,What will happen next?
neutral,english,Listening to some music
anxious,bangla,আমার ভেতরটা কাঁপছে
surprised,bangla,জীবনে এটা কখনো ভাবিনি
love,bangla,তুমি আমার স্বপ্নের মানুষ
angry,bangla,বেশি বাড়াবাড়ি করছো!
anxious,english,Feeling really uneasy
anxious,bangla,কিছু একটা হবে
anxious,bangla,হাত পা ঠান্ডা হয়ে আসছে
surprised,english,That came out of nowhere
anxious,english,I'm panicking inside
anxious,english,I feel so stressed out
angry,bangla,এটা শেষ নয় শুরু
neutral,bangla,বাজারে যাব একটু পর
angry,bangla,এভাবে চলতে দেব না
angry,bangla,বিশ্বাসঘাতকতা!
neutral,english,Just finished my homework
sad,bangla,নিঃসঙ্গতা গ্রাস করছে
happy,bangla,আমি খুবই আনন্দিত
love,english,So in love with this person
sad,bangla,একা একা খুব কষ্ট হচ্ছে
love,english,You are my everything
love,bangla,তুমি ছাড়া অচল
neutral,bangla,সোশ্যাল মিডিয়া দেখছি
sad,bangla,বাঁচার ইচ্ছা নেই
love,bangla,আমার হৃদয় তোমার জন্য
surprised,english,What a twist!
neutral,bangla,আজ সাধারণ একটা দিন
surprised,english,No way! This is unbelievable!
happy,bangla,আমার লক্ষ্য পূরণ হয়েছে
happy,english,My heart is full of joy
anxious,english,Paranoid and restless
happy,bangla,আজ আমি খুব খুশি
love,english,My heart beats for you
anxious,bangla,স্ট্রেসে আছি খুব
angry,english,What a waste of time
neutral,bangla,অফিস যাচ্ছি এখন
angry,english,Stop lying to me!
sad,english,Feeling empty inside
sad,english,I just want to sleep forever
neutral,english,Need to go grocery shopping
love,english,You make my life complete
sad,english,I wish I had someone to talk to
love,english,I adore you
surprised,bangla,কোনো কথা নেই আমার কাছে
anxious,bangla,কিছু একটা খারাপ হবে মনে হচ্ছে
love,bangla,তুমি আমার পৃথিবী
angry,bangla,এটা যুদ্ধের সময়!
angry,english,How stupid can people be
neutral,bangla,বাসায় বসে আছি
surprised,bangla,মাই গড!
happy,bangla,ভীষণ ভালো লাগছে
surprised,english,I am stunned
neutral,bangla,গান শুনছি
love,bangla,তুমি আমার পৃথিবী
angry,bangla,তোমার অহংকার নিচে নামাব
angry,bangla,থামো এখনি!
surprised,bangla,এটা কল্পনাতীত!
neutral,english,Time for lunch
neutral,english,Time to sleep now
anxious,bangla,শান্তি নেই মনে
angry,english,How stupid can people be
anxious,english,I can't stop worrying
angry,english,Enough is enough!
surprised,bangla,এটা কীভাবে সম্ভব!
love,bangla,তোমার স্পর্শে স্বর্গ
angry,bangla,আমি প্রতারিত হয়েছি
surprised,english,I'm genuinely surprised
angry,english,I am done with this
neutral,bangla,মোবাইল চার্জ দিচ্ছি
anxious,bangla,ব্যর্থ হলে কি হবে ভেবে মরি
surprised,bangla,আমি বাকরুদ্ধ!
neutral,bangla,ছবি দেখলাম ফেসবুকে
anxious,bangla,চিন্তায় রাত ঘুম আসে না
neutral,bangla,আজ মিটিং আছে ৩টায়
sad,bangla,মনটা ভেঙে গেছে
angry,english,I'm boiling inside
angry,english,Cannot tolerate this anymore
angry,english,I can't believe this!
happy,english,Feeling on top of the world
happy,english,What a blessing!
sad,english,Nothing is going right
love,bangla,তোমার সাথে সময় কাটালে ভালো লাগে
angry,english,Enough is enough!
surprised,bangla,ওহ মাই গড!
surprised,bangla,আমি ভাবতেও পারিনি
neutral,bangla,ছবি দেখলাম ফেসবুকে
happy,english,Finally achieved my goal!
surprised,english,I'm speechless right now
love,english,You are perfect just the way you are
sad,bangla,অন্ধকারে ডুবে যাচ্ছি
angry,english,So angry I can't even think straight
love,bangla,তোমার জন্যই আমি বেঁচে আছি
love,bangla,তোমার জন্যই আমি বেঁচে আছি
sad,english,Life feels so heavy
anxious,bangla,আমার মন স্থির নয়
angry,english,Total disaster
angry,bangla,অনেক রাগ হচ্ছে!
happy,english,My heart is full of joy
neutral,english,I had my breakfast
love,english,Best feeling in the world
surprised,english,What a surprise!
neutral,english,Had a usual day at office
sad,english,Can't stop crying
angry,english,This is a total scam
happy,bangla,আজকে মনটা খুব ভালো
love,bangla,তোমার জন্য আমার জীবন উৎসর্গ
surprised,bangla,আমি তো অবাক!
happy,bangla,এটা আমার জন্য গর্বের
anxious,english,I am on edge all the time
happy,bangla,গর্বিত নিজের উপর
anxious,english,Overthinking everything again
surprised,bangla,এটা কীভাবে সম্ভব!
surprised,bangla,আমি বাকরুদ্ধ!
sad,english,Can't stop crying
happy,english,I love this weather!
anxious,bangla,ভবিষ্যৎ নিয়ে খুব দুশ্চিন্তা
sad,bangla,একা একা খুব কষ্ট হচ্ছে
anxious,english,The anxiety is overwhelming
neutral,english,The weather is okay I guess
happy,bangla,বন্ধুদের সাথে আড্ডা দারুণ
surprised,english,That's the last thing I expected
neutral,bangla,ইনবক্স চেক করলাম
anxious,bangla,পাগল হয়ে যাব
love,english,You are my everything
angry,english,I can't believe this!
sad,english,Feeling really down
neutral,english,Time for lunch
anxious,bangla,চিন্তায় রাত ঘুম আসে না
anxious,bangla,ভবিষ্যৎ নিয়ে খুব দুশ্চিন্তা
anxious,english,So much pressure on me
anxious,english,Every little thing worries me
neutral,bangla,বাজারে যাব একটু পর
anxious,bangla,আমার মন স্থির নয়
anxious,english,Worst feeling ever
angry,bangla,বাঁধ ভেঙে গেছে
neutral,bangla,অফিস যাচ্ছি এখন
surprised,bangla,অসম্ভব!
neutral,english,The internet is slow today
sad,english,Wish things were different
neutral,bangla,ঘুম থেকে উঠলাম সকালে
neutral,bangla,নতুন জিন্স কিনেছি
angry,english,I've had enough!
love,bangla,তুমি আমার পৃথিবী
angry,bangla,রাগে ফেটে পড়ছি
anxious,english,I'm panicking inside
neutral,english,Time for lunch
surprised,bangla,জীবনে এটা কখনো ভাবিনি
surprised,english,This changes everything!
neutral,english,Thinking about what to cook
surprised,bangla,কেউ জানত না এটা হবে!
love,english,You are my whole world
love,bangla,আমার হৃদয় তোমার জন্য
angry,bangla,তোমার লজ্জা করে না?
happy,english,This is the best news ever
happy,english,Perfect moment captured
sad,bangla,আজ খুব মন খারাপ
sad,bangla,কেউ আমার কথা বুঝে না
sad,bangla,আমি ক্লান্ত হয়ে গেছি
sad,english,I just want to sleep forever
anxious,bangla,ব্যর্থ হলে কি হবে ভেবে মরি
sad,english,I feel so lonely today
happy,bangla,আমি খুবই আনন্দিত
sad,bangla,আমার কিছুই নেই
surprised,bangla,আমার চোখকে বিশ্বাস হচ্ছে না
anxious,english,Can't sleep at all tonight
angry,bangla,বিশ্বাসঘাতকতা!
surprised,bangla,আমি ভাবতেও পারিনি
neutral,english,Need to charge my laptop
neutral,bangla,ছবি দেখলাম ফেসবুকে
love,english,My heart belongs to you
neutral,english,Reading news online
neutral,bangla,হোমওয়ার্ক করলাম
angry,bangla,এটা সম্পূর্ণ অগ্রহণযোগ্য
love,bangla,তুমি ছাড়া অচল
happy,bangla,এটা আমার জন্য গর্বের
neutral,bangla,একটি সিনেমা দেখলাম
surprised,english,What a surprise!
surprised,english,That came out of nowhere
angry,english,How stupid can people be
neutral,english,Time to sleep now
sad,english,So tired of all this
anxious,bangla,কিছু একটা হবে
anxious,english,Paranoid and restless
sad,bangla,জীবনটা বোঝা হয়ে গেছে
neutral,bangla,পানি খাচ্ছি
neutral,bangla,চা খাচ্ছি
happy,english,I am thrilled
neutral,bangla,বই পড়ছি এখন
angry,english,This is a joke
surprised,english,Are you serious?
angry,bangla,আমি ঠকেছি
angry,bangla,বাঁধ ভেঙে গেছে
happy,english,So grateful for everything!
surprised,bangla,আমি তো অবাক!
love,bangla,তোমার সাথে সময় কাটালে ভালো লাগে
surprised,bangla,জীবনে এটা কখনো ভাবিনি
happy,english,This is amazing news
happy,english,I feel amazing
neutral,english,Checked my emails
anxious,english,So much pressure on me
surprised,bangla,সত্যি! আমি বিশ্বাস করতে পারছি না!
neutral,english,Watching a movie tonight
happy,bangla,আমার লক্ষ্য পূরণ হয়েছে
anxious,english,Can't sleep at all tonight
neutral,bangla,রোদ উঠেছে এখন
anxious,bangla,ভবিষ্যৎ নিয়ে খুব দুশ্চিন্তা
neutral,english,The internet is slow today
surprised,bangla,এটা কীভাবে জানলেন?
angry,english,I hate this so much
happy,bangla,খুশিতে আত্মহারা
happy,bangla,আজকে আমার সেরা দিন
anxious,english,I'm panicking inside
angry,english,This is a joke
angry,english,This is so frustrating!
sad,english,I just want to disappear
neutral,bangla,চা খাচ্ছি
neutral,bangla,গান শুনছি
anxious,bangla,শান্তি নেই মনে
happy,english,Life is beautiful!
neutral,bangla,পানি খাচ্ছি
neutral,bangla,অফিস যাচ্ছি এখন
love,bangla,আমি তোমাকে মিস করি
love,english,You are my soulmate
angry,english,I hate this so much
sad,bangla,ভেঙে পড়েছি সম্পূর্ণ
love,bangla,তুমি আমার জীবনের আলো
sad,bangla,বাঁচার ইচ্ছা নেই
surprised,english,Really? That's shocking!
happy,english,So grateful for everything!
sad,english,Feeling really down
neutral,english,Nothing special happened
happy,english,Happiness is all around me
sad,bangla,হারিয়ে যাচ্ছি
sad,english,This world is cruel
happy,bangla,আমি সফল হয়েছি
angry,bangla,সাবধান করছি!
love,bangla,তুমি আসলেই স্পেশাল
angry,english,Stop lying to me!
neutral,english,I had my breakfast
anxious,bangla,অজানা ভয়ে আছি
sad,english,Why does it hurt so much
anxious,english,I can't handle this
surprised,english,I am shocked and amazed
angry,english,I'm boiling inside
anxious,bangla,হাত পা ঠান্ডা হয়ে আসছে
anxious,english,What if something goes wrong?
neutral,english,Checked my emails
anxious,english,What if I fail?
neutral,bangla,হোমওয়ার্ক করলাম
sad,english,I am drowning in sadness
sad,bangla,একা একা খুব কষ্ট হচ্ছে
angry,english,I am furious right now
angry,english,This is completely unacceptable
angry,english,I've had enough!
sad,english,Why does this keep happening
neutral,english,I had my breakfast
angry,bangla,বাঁধ ভেঙে গেছে
sad,english,There is no hope left
neutral,bangla,বৃষ্টি থেমে গেছে
anxious,english,When will this be over
angry,bangla,অপমান সহ্য করব না
angry,bangla,বেশি বাড়াবাড়ি করছো!
surprised,english,Wow I did not see that coming!
surprised,bangla,এটা কল্পনাতীত!
surprised,english,I never expected this to happen
surprised,bangla,সত্যি হলে ভালো হতো!
surprised,english,Are you serious?
surprised,english,Can't believe this is real
happy,english,This is the best news ever
angry,english,Why do people have to be so rude
angry,english,I am so fed up!
anxious,bangla,দিশেহারা হয়ে যাচ্ছি
sad,english,Why me?
sad,english,Everything reminds me of you
sad,bangla,কেউ আমার পাশে নেই
surprised,english,Did that really just happen?
sad,english,Everything reminds me of you
anxious,bangla,চিন্তায় রাত ঘুম আসে না
sad,english,Why does it hurt so much
